PMID,extracted_sentence,Label
31399034,"However, the functions        of <piRNA>piRNAs</piRNA> in <disease> cancer disease </disease> and their underlying mechanisms remain incompletely        understood.",Negative
31399034,"In this review, we discuss current findings regarding <piRNA>piRNA</piRNA>        biogenetic processes, functions, and emerging roles in <disease> cancer disease </disease>",positive
31399034,providing new        insights regarding the potential applications of <piRNA>piRNAs</piRNA> and piwi proteins in        <disease>cancer disease</disease> diagnosis and clinical treatment.,positive
37407865,"In this review, we systematically discuss the research progress on <piRNA>piRNA</piRNA> in CVDs,        especially the mechanism of cardiac remodeling and the potential functions in        cardiac protection, which provides new insights for the progress and treatment of        <disease>cardiovascular diseases</disease>.",positive
37407865,"AKT pathway regulation, cardiac remodeling and decompensation, which implies the        potential of <piRNA>piRNA</piRNA> in the diagnosis and treatment of <disease>cardiovascular diseases</disease>.",positive
37407865,"<piRNA>PiRNA</piRNA> is also speculated to participate in the proliferation of cardiac        progenitor cells, implying the potential to induce cardiac regeneration th erapy,        which provides new insights for treatment of <disease>cardiovascular diseases</disease>.",positive
37407865,"With        further studies in mechanism of <piRNA>piRNA</piRNA>, potential therapies above may come true        and more therapies in <disease>cardiovascular diseases</disease> may be found.",positive
38943141,"While <piRNA>piRNA</piRNA> has been extensively studied in        various diseases, particular <disease> cancer disease </disease>, its function in immune diseases remains        unclear.",Negative
38943141,"<piRNA>piRNA</piRNA> is considered a promising        biomarker for diseases, highlighting the need for further research into its        potential mechanisms in <disease>disease</disease> pathogenesis.",Negative
37332045,Accumulating studies have confirmed that <piRNA>PIWI-interacting RNAs</piRNA> are        considered epigenetic effectors in <disease> cancer disease </disease>.,positive
37332045,We performed <piRNA>piRNA</piRNA> microarray        expression analysis on <disease>renal cell carcinoma</disease> tumor tissues and paired normal        tissues and performed a series of in vivo and in vitro experiments to explore     piRNAs associated with RCC  progression and investigate their functional        mechanisms.,positive
37332045,We performed piRNA microarray        expression analysis on renal cell carcinoma tumor tissues and paired normal        tissues and performed a series of in vivo and in vitro experiments to explore        <piRNA>piRNAs</piRNA> associated with <disease>RCC</disease> progression and investigate their functional        mechanisms.,positive
37332045,We found that <piRNA>piR-1742</piRNA> was highly expressed in <disease>RCC</disease> tumors and that        patients with high  piR-1742  expression had a poor prognosis.,positive
37332045,Inhibition of        <piRNA>piR-1742</piRNA> significantly reduced tumor growth in <disease>RCC</disease> xenograft and organoid models.,positive
37332045,"Mechanistically, <piRNA>piRNA-1742</piRNA> regulates the stability of USP8 mRNA by binding        directly to hnRNPU, which acts as a deubiquitinating enzyme that inhibits the        ubiquitination of MUC12 and promotes the development of malignant <disease>RCC</disease>.",positive
37332045,"Subsequently, nanotherapeutic systems loaded with <piRNA>piRNA-1742</piRNA> inhibitors were        found to effectively inhibit the metastasis and growth of <disease>RCC</disease> in vivo.",positive
